PctBach,X,Y,PctRural,PctBlack,PctFB
8.2,941396.6,3521764,75.6,20.76,0.64
6.4,895553,3471916,100,26.86,1.58
6.6,930946.4,3502787,61.7,15.42,0.27
9.4,745398.6,3474765,100,51.67,0.11
13.3,849431.3,3665553,42.7,42.39,1.43
6.4,819317.3,3807616,100,3.49,0.34
9.2,803747.1,3769623,64.6,11.44,0.92
9,699011.5,3793408,75.2,9.21,0.82
7.6,863020.8,3520432,47,31.33,0.33
7.5,859915.8,3466377,66.2,11.62,1.19
17,809736.9,3636468,16.1,41.68,1.06
10.3,844270.1,3595691,57.9,22.36,0.64
5.8,979288.9,3463849,100,4.58,0.33
9.1,827822,3421638,65.6,41.47,1.76
11.8,1023145,3554982,80.6,14.85,0.45
19.9,994903.4,3600493,63.2,25.95,1.16
9.6,971593.8,3671394,72.3,52.19,0.43
7.2,782448.2,3684504,73.4,35.48,0.72
10.1,724741.2,3492653,100,58.89,0.1
13.5,1008480,3437933,47.1,20.19,2.14
9.9,964264.9,3598842,52.1,30.94,0.96
12,678778.6,3713250,68.5,15.46,0.85
8.1,670055.9,3862318,43.6,0.91,0.39
6.4,962612.3,3432769,100,27.05,0.42
18.6,1059706,3556747,5.1,38.02,2.05
20.2,704959.2,3577608,13.7,30.94,6.74
5.9,653026.6,3813760,77.4,8.61,0.11
18.4,734240.9,3794110,57.8,1.77,1.57
37.5,832508.6,3762905,17.6,26.23,4.47
11.2,695793.9,3495219,100,60.76,0.45
14.7,745538.8,3711726,4.4,23.82,4.23
6.7,908046.1,3428340,58.6,27.29,0.11
33,724646.8,3757187,5.8,9.84,4.12
11.1,894463.9,3492465,64.6,25.46,1.49
10,808691.8,3455994,59.4,24.16,3.01
23.9,942527.9,3722100,30.6,10.93,3.49
6.5,839816.1,3449007,62,29.94,1.89
13.3,705457.9,3694344,76.1,22.59,0.8
5.7,783416.5,3623343,100,30.66,1.01
10,805648.4,3537103,48.4,40.66,0.3
8,635964.3,3854592,96.5,0.35,0.75
8.6,764386.1,3812502,100,0.29,0.59
11.7,732628.4,3421800,58,39.47,1.54
32.7,759231.9,3735253,2.5,42.23,6.69
8,860451.4,3569933,70.7,27.64,0.34
9.5,800031.3,3564188,72.6,48.98,0.5
17,764116.9,3494367,10,50.15,0.94
12,707288.7,3731361,26.7,7.63,1.34
9.4,703495.1,3467152,52.8,44.09,0.24
4.7,896654,3401148,100,11.48,1.63
7.6,1031899,3596117,89.1,14.03,0.69
8,879541.2,3785425,70,29.99,0.84
9.1,943066.2,3616602,64.2,32.58,0.41
8.6,981727.8,3571315,100,33.88,0.48
7.8,739255.8,3866604,100,0.03,0.58
25.8,731468.7,3700612,53.9,5.13,2.85
13.7,662257.4,3789664,36.1,13.56,1.09
15.6,765397.3,3789005,93.7,0,1.17
9.5,845701.3,3813323,87.2,9.89,0.44
31.6,733728.4,3733248,4.2,49.92,4.13
8.6,732702.3,3844809,100,0.26,0.45
5.3,908386.8,3685752,100,12.69,0.42
19.9,1023411,3471063,20.3,25.57,1.37
9.2,695325.1,3822135,79.7,3.78,0.64
7.7,765058.1,3421817,55.4,31.5,0.74
8.8,855577.3,3722330,75.7,49.89,0.5
29.6,772634.6,3764306,13.6,5.11,5.05
12,818917.1,3839931,88.5,5.42,2.92
15.4,794419.5,3803344,81.1,8.48,4.6
6.8,873518.8,3689861,100,79.64,0.27
7.5,665933.8,3740622,67.8,6.47,0.69
13.6,695500.6,3624790,95.8,25.49,1.11
9.1,870749.9,3810303,73.8,20.41,0.32
5.7,675280.4,3685569,100,13.38,0.35
10.7,763488.4,3699716,76,10.24,0.98
16,814118.9,3590553,20.9,21.8,2.25
8.3,855461.8,3506293,63.4,30.5,0.15
9,815753.1,3783949,78,9.58,0.62
10.8,807249.1,3695092,100,34.8,0.99
8.3,915741.9,3530869,65.1,15.36,0.64
6.2,924108.1,3668080,100,55.92,0.4
7.7,970465.7,3640263,53.8,41.51,0.21
4.9,908636.7,3624562,100,33.89,0.29
12,821367.1,3660143,81.9,25.6,0.52
10,766461.7,3663959,63.6,34.03,0.34
5.4,873804.3,3439981,100,26.58,0.85
12,884830.4,3599291,52.9,33.32,0.49
13.7,770455.5,3520161,78.2,19.22,0.7
13.4,1014742,3537225,32.9,39.15,3.85
8.2,919396.5,3752562,100,38.19,0.26
5.2,1004544,3517834,100,21.75,2.02
16.3,864781.1,3419313,47.6,31.88,1.53
11.1,772600,3832429,78.6,1.41,0.76
10.4,917730.9,3716368,65.9,36.38,0.22
8.7,1030500,3500535,100,43.34,0.27
10.1,777055.3,3584821,65.6,58.72,0.98
9.7,848638.8,3785405,100,8.32,0.81
4.6,732876.8,3584393,100,41.32,0.43
6.7,715359.8,3660275,82.3,44.62,0.31
8.2,716369.8,3451034,100,27.48,0.41
7.8,766238.6,3453930,56.2,47.91,0.58
12.9,790338.7,3660608,75.1,31.78,0.93
10.1,920887.4,3568473,98.6,28.27,1.44
11,825920.1,3717990,73,34.74,0.83
5.5,707834.3,3854188,89,0.26,0.5
16.6,700833.7,3598228,3.2,37.95,3.4
9.5,793263.9,3719734,76,22.35,0.78
28.4,830735.9,3750903,95.2,7.37,0.98
12.8,863291.8,3756777,100,24.74,0.62
7.6,695329.2,3758093,93.7,3.94,0.66
15.2,798061.4,3609091,61.3,47.53,1.62
9,733846.7,3812828,100,1.48,0.2
6.3,953533.8,3482044,74.4,11.69,0.7
9.3,744180.8,3665561,100,20.04,0.82
6.8,668031.4,3764766,66.5,14.3,0.95
10.7,833819.6,3567447,56.5,32.46,1.76
11.7,840169.1,3695254,66.5,32.79,1.85
7.3,686875.4,3524124,100,49.93,0.95
11.6,824645.5,3864805,100,0.35,1.13
6,712437.1,3519627,53.5,58.17,0.86
17.3,954272.3,3697862,9.9,41.96,3.01
18.1,777759,3729605,59.2,8.03,2.01
8,752973.1,3570222,100,34.09,0.25
8.6,1004028,3641918,79.3,44.69,0.61
7.8,704495.6,3422002,69.4,32.74,5.69
11.1,754916.2,3685029,53.6,29.08,0.77
13.1,842085.9,3827075,64.5,11.81,1.09
8,703256.8,3552857,100,63.46,0.16
15.9,763457.1,3551752,45.4,46.53,0.59
7.1,734217.9,3623162,97.9,62.34,0.34
5.6,884376.9,3717493,100,61.36,0.78
6.5,963427.8,3560039,79.3,29.19,2.05
7.1,759410.8,3608179,100,43.21,0.48
8.6,882069.4,3534470,72.6,34.45,0.04
9.2,743031.8,3522636,50.3,59.9,0.25
13.4,795506.2,3421725,55.2,37.93,0.72
14,831682.3,3487715,51.1,26.68,2.77
11.4,941734.4,3567586,35.7,23.38,0.9
11.4,797981.7,3872640,100,0,1.36
6.3,919077.6,3595170,53.3,33.1,0.13
13.6,682616.8,3660254,44,30.03,0.99
7.2,819399.6,3514927,44.5,40.66,0.35
4.8,832935,3623868,100,45.93,0.22
10.1,777040.1,3858779,100,0.1,0.88
9,752165.2,3639192,65.3,27.78,0.57
8.4,658870.4,3842167,44.8,3.73,0.42
9.4,800384.3,3742691,61.2,18.37,0.65
10.4,938349.6,3446675,54.2,25.88,0.62
4.2,902471.1,3699878,100,60.23,0.49
9.8,894704.3,3648583,67.1,51.86,0.2
9.6,986832.8,3494323,59.9,19.45,0.5
5.5,731576.3,3544716,100,50.2,0.09
8.6,898776.3,3563384,100,30.06,0.35
13.6,796905.6,3841086,100,2.59,1.18
12,686891.4,3855274,70,4.06,2.55
7.6,838551.5,3538547,100,31.76,0.09
10.4,891228.5,3749769,59.6,45.94,0.43
8.8,858796.9,3637891,100,41.99,0.29
6.3,801018.1,3487328,71.1,30.71,0.59
